sample,site,num,AB,S+AF8-XS,date,temp+AF8-c,ms+AF8-cm,do+AF8-percent,do+AF8-ch,ft,ph,wind+AF8-direction,sample+AF8-num,type,section,geology
NWA+AF8-2A,NWA,2,A,NA,June+AF8-26,16.137,0.903,106.667,44.767,33.186,9.770,None,NWA+AF8-2,Borehole,SKZ,Granite
NWA+AF8-2B,NWA,2,B,NA,June+AF8-26,16.137,0.903,106.667,44.767,33.186,9.770,None,NWA+AF8-2,Borehole,SKZ,Granite
NYA+AF8-2A,NYA,2,A,NA,June+AF8-24,14.917,0.519,54.900,39.667,23.241,8.637,N+AF8-S,NYA+AF8-2,Pipeline trough,HOU,Basalt
NYA+AF8-2B,NYA,2,B,NA,June+AF8-24,14.917,0.519,54.900,39.667,23.241,8.637,N+AF8-S,NYA+AF8-2,Pipeline trough,HOU,Basalt
NYA+AF8-3A,NYA,3,A,NA,July+AF8-1,17.513,0.540,70.267,38.000,33.255,8.643,None,NYA+AF8-3,Pipeline trough,HOU,Basalt
NYA+AF8-3B,NYA,3,B,NA,July+AF8-1,17.513,0.540,70.267,38.000,33.255,8.643,None,NYA+AF8-3,Pipeline trough,HOU,Basalt
NYA+AF8-4B,NYA,4,B,NA,July+AF8-8,18.297,0.553,76.933,37.633,33.255,8.817,,NYA+AF8-4,Pipeline trough,HOU,Basalt
BLANK+AF8-2,BLANK,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLANK+AF8-3,BLANK,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DLP+AF8-8A+AF8-S,DLP,8,A,S,July+AF8-10,15.273,3.114,83.367,39.667,33.163,9.160,,DLP+AF8-8,Borehole,SKZ,Granite
DLP+AF8-8A+AF8-XS,DLP,8,A,XS,July+AF8-10,15.273,3.114,83.367,39.667,33.163,9.160,,DLP+AF8-8,Borehole,SKZ,Granite
